url,level,era,status
https://lambda.gsfc.nasa.gov/education/graphic_history/microwaves.html?utm_source=chatgpt.com,HS,Big Bang & Planck Era (t < 10⁻⁴³ s),
https://www.esa.int/Science_Exploration/Space_Science/Planck_overview?utm_source=chatgpt.com,HS,Big Bang & Planck Era (t < 10⁻⁴³ s),
https://www.symmetrymagazine.org/article/the-problem-solver-cosmic-inflation?language_content_entity=und&utm_source=chatgpt.com,HS,Cosmic Inflation (~10⁻³⁶ to 10⁻³² s),
https://www.fnal.gov/pub/science/questions/birth-universe-01.html?utm_source=chatgpt.com,HS,Cosmic Inflation (~10⁻³⁶ to 10⁻³² s),
https://home.cern/science/experiments/alice?utm_source=chatgpt.com,HS,Quark–Gluon Plasma / Particle Era (up to a few minutes),
https://home.cern/news/news/physics/alice-explores-hidden-charm-quark-gluon-plasma?utm_source=chatgpt.com,HS,Quark–Gluon Plasma / Particle Era (up to a few minutes),
https://lss.fnal.gov/archive/2019/pub/fermilab-pub-19-160-a-cd.pdf?utm_source=chatgpt.com,HS,Nucleosynthesis (~3–20 minutes),
https://lambda.gsfc.nasa.gov/education/graphic_history/microwaves.html?utm_source=chatgpt.com,HS,Nucleosynthesis (~3–20 minutes),
https://lambda.gsfc.nasa.gov/education/graphic_history/microwaves.html?utm_source=chatgpt.com,HS,"Photon Era & Recombination (~380,000 years; CMB)",
https://www.esa.int/Science_Exploration/Space_Science/Planck/Planck_and_the_cosmic_microwave_background?utm_source=chatgpt.com,HS,"Photon Era & Recombination (~380,000 years; CMB)",
https://map.gsfc.nasa.gov/?utm_source=chatgpt.com,HS,"Photon Era & Recombination (~380,000 years; CMB)",
https://science.nasa.gov/universe/overview/?utm_source=chatgpt.com,HS,Dark Ages (~380k–200m years),
https://science.nasa.gov/mission/webb/early-universe/?utm_source=chatgpt.com,HS,Reionization / First Stars (~200m–1b years),
https://www.icrar.org/first-signs-earliest-stars-seen/?utm_source=chatgpt.com,HS,Reionization / First Stars (~200m–1b years),
https://spaceplace.nasa.gov/big-bang/?utm_source=chatgpt.com,MS,Big Bang & Planck Era,
https://www.esa.int/kids/en/learn/Our_Universe/Story_of_the_Universe/The_Big_Bang?utm_source=chatgpt.com,MS,Big Bang & Planck Era,
https://www.esa.int/kids/en/learn/Our_Universe/Story_of_the_Universe/The_Universe?utm_source=chatgpt.com,MS,Big Bang & Planck Era,
https://science.nasa.gov/universe/overview/?utm_source=chatgpt.com,MS,Cosmic Inflation,
https://www.khanacademy.org/science/cosmology-and-astronomy/universe-scale-topic/big-bang-expansion-topic/v/big-bang-introduction?utm_source=chatgpt.com,MS,Cosmic Inflation,
https://home.cern/science/experiments/alice?utm_source=chatgpt.com,MS,Quark–Gluon Plasma / Particle Era,
https://home.web.cern.ch/resources/faqs/facts-and-figures-about-lhc?utm_source=chatgpt.com,MS,Quark–Gluon Plasma / Particle Era,
https://science.nasa.gov/universe/overview/?utm_source=chatgpt.com,MS,Nucleosynthesis (first 3–20 minutes),
https://www.nasa.gov/wp-content/uploads/2009/07/190389main_cosmic_elements_poster_back.pdf?emrc=8cc937&utm_source=chatgpt.com,MS,Nucleosynthesis (first 3–20 minutes),
https://www.energy.gov/science/doe-explainsnucleosynthesis?utm_source=chatgpt.com,MS,Nucleosynthesis (first 3–20 minutes),
https://spaceplace.nasa.gov/review/magic-windows/microwave.html?utm_source=chatgpt.com,MS,Photon Era & Recombination (CMB),
https://www.esa.int/Science_Exploration/Space_Science/Planck/Planck_and_the_cosmic_microwave_background?utm_source=chatgpt.com,MS,Photon Era & Recombination (CMB),
https://science.nasa.gov/mission/webb/early-universe/?utm_source=chatgpt.com,MS,Dark Ages (no stars yet),
https://science.nasa.gov/mission/webb/early-universe/?utm_source=chatgpt.com,MS,Reionization / First Stars,
https://www.icrar.org/first-signs-earliest-stars-seen/?utm_source=chatgpt.com,MS,Reionization / First Stars,
https://www.icrar.org/eorastro3d/?utm_source=chatgpt.com,MS,Reionization / First Stars,
